UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temperature difference [K],Mechanical power [kW],Torque_I_Alarm,Torque_MR,Torque_MR_Alarm,Torque_SPC_Alarm,Power_I_Alarm,Power_MR,Power_MR_Alarm,Power_SPC_Alarm,TempDiff_I_Alarm,TempDiff_MR,TempDiff_MR_Alarm,TempDiff_SPC_Alarm,SPC_Alarm_Count,SPC_Alarm_Count_Primary,RPM_I_Alarm,RPM_MR,RPM_MR_Alarm,RPM_SPC_Alarm,Mechanical_SPC_Alarm_Count,Mechanical_SPC_Any
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,10.599999999999966,7.815528539894545,0,28.799999999999997,0,0,0,3.6386763871917944,0,0,1,0.0,0,1,1,0,0,493.0,0,0,0,0
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,10.599999999999966,6.397602111623327,0,1.7999999999999972,0,0,0,1.417926428271218,0,0,1,0.0,0,1,1,0,0,231.0,0,0,0,0
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,10.5,6.733061375173644,0,1.0,0,0,0,0.33545926355031774,0,0,1,0.0999999999999659,0,1,1,0,0,99.0,0,0,0,0
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,10.399999999999975,7.453638010152023,0,8.899999999999999,0,0,0,0.7205766349783786,0,0,1,0.10000000000002451,0,1,1,0,0,104.0,0,0,0,0
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,10.400000000000034,5.554335811546754,0,22.0,0,0,0,1.8993021986052687,0,0,1,5.861977570020827e-14,0,1,1,0,0,326.0,0,0,0,0
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,10.400000000000034,6.148358622463024,0,10.200000000000003,0,0,0,0.59402281091627,0,0,1,0.0,0,1,1,0,0,257.0,0,0,0,0
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,10.5,6.802595292573099,0,2.0999999999999943,0,0,0,0.654236670110075,0,0,1,0.0999999999999659,0,1,1,0,0,75.0,0,0,0,0
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,10.400000000000034,5.08275133831639,0,14.099999999999998,0,0,0,1.7198439542567092,0,0,1,0.0999999999999659,0,1,1,0,0,131.0,0,0,0,0
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,10.399999999999975,4.731301368159301,0,5.0,0,0,0,0.35144997015708945,0,0,1,5.861977570020827e-14,0,1,1,0,0,177.0,0,0,0,0
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,10.399999999999975,6.097339157768726,0,11.599999999999998,0,0,0,1.3660377896094253,0,0,1,0.0,0,1,1,0,0,197.0,0,0,0,0
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,10.5,4.540784717670103,0,13.999999999999996,0,0,0,1.5565544400986226,0,0,1,0.10000000000002451,0,1,1,0,0,300.0,0,0,0,0
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,10.399999999999975,6.1751145198960975,0,15.7,0,0,0,1.6343298022259942,0,0,1,0.10000000000002451,0,1,1,0,0,349.0,0,0,0,0
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,10.299999999999956,4.665327922433916,0,14.399999999999999,0,0,0,1.5097865974621811,0,0,1,0.10000000000001918,0,1,1,0,0,299.0,0,0,0,0
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,10.299999999999956,6.660574360679817,0,19.6,0,0,0,1.9952464382459008,0,0,1,0.0,0,1,1,0,0,372.0,0,0,0,0
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,10.399999999999975,5.336445417069279,0,14.100000000000001,0,0,0,1.3241289436105381,0,0,1,0.10000000000001918,0,1,1,0,0,254.0,0,0,0,0
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,10.399999999999975,6.758592051471817,0,18.1,0,0,0,1.4221466344025382,0,0,1,0.0,0,1,1,0,0,354.0,0,0,0,0
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,10.399999999999975,4.80129605248128,0,22.700000000000003,0,0,0,1.9572959989905367,0,0,1,0.0,0,1,1,0,0,459.0,0,0,0,0
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,10.399999999999975,7.177251160464706,0,22.799999999999997,0,0,0,2.375955107983425,0,0,1,0.0,0,1,1,0,0,379.0,0,0,0,0
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,10.400000000000034,5.666647748912588,0,15.799999999999997,0,0,0,1.5106034115521174,0,0,1,5.861977570020827e-14,0,1,1,0,0,246.0,0,0,0,0
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,10.300000000000011,5.66505600863477,0,2.200000000000003,0,0,0,0.0015917402778180545,0,0,1,0.10000000000002274,0,1,1,0,0,106.0,0,0,0,0
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,10.399999999999975,7.389779903480055,0,13.899999999999999,0,0,0,1.724723894845285,0,0,1,0.09999999999996412,0,1,1,0,0,107.0,0,0,0,0
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,10.300000000000011,6.076122935381483,0,11.899999999999999,0,0,0,1.313656968098572,0,0,1,0.09999999999996412,0,1,1,0,0,129.0,0,0,0,0
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,10.300000000000011,5.907115722593865,0,2.5,0,0,0,0.16900721278761832,0,0,1,0.0,0,1,1,0,0,142.0,0,0,0,0
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,10.300000000000011,7.321513095117549,0,11.5,0,0,0,1.414397372523684,0,0,1,0.0,0,1,1,0,0,60.0,0,0,0,0
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,10.300000000000011,7.4220126441058865,0,1.7999999999999972,0,0,0,0.10049954898833757,0,0,1,0.0,0,1,1,0,0,29.0,0,0,0,0
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,10.300000000000011,6.475325113873137,0,7.100000000000001,0,0,0,0.9466875302327491,0,0,1,0.0,0,1,1,0,0,12.0,0,0,0,0
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,10.300000000000011,7.277436550187684,0,5.399999999999999,0,0,0,0.8021114363145463,0,0,1,0.0,0,1,1,0,0,6.0,0,0,0,0
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,10.300000000000011,7.033900287681404,0,1.6999999999999957,0,0,0,0.24353626250627958,0,0,1,0.0,0,1,1,0,0,0.0,0,0,0,0
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,10.399999999999975,6.9682619451724,0,0.6000000000000014,0,0,0,0.06563834250900413,0,0,1,0.09999999999996412,0,1,1,0,0,4.0,0,0,0,0
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,10.300000000000011,7.322005277966611,0,1.0,0,0,0,0.35374333279421144,0,0,1,0.09999999999996412,0,1,1,0,0,100.0,0,0,0,0
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,10.300000000000011,7.656050824822814,0,1.6000000000000014,0,0,0,0.3340455468562027,0,0,1,0.0,0,1,1,0,0,17.0,0,0,0,0
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,10.300000000000011,4.97936152408675,0,23.3,0,0,0,2.676689300736064,0,0,1,0.0,0,1,1,0,0,354.0,0,0,0,0
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,10.300000000000011,6.8752079707730696,0,20.499999999999996,0,0,0,1.8958464466863196,0,0,1,0.0,0,1,1,0,0,425.0,0,0,0,0
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,10.399999999999975,8.043262591353269,0,7.600000000000001,0,0,0,1.1680546205801994,0,0,1,0.09999999999996412,0,1,1,0,0,7.0,0,0,0,0
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,10.300000000000011,6.520815375497119,0,9.799999999999997,0,0,0,1.5224472158561495,0,0,1,0.09999999999996412,0,1,1,0,0,13.0,0,0,0,0
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,10.200000000000044,1.3781748092277943,1,39.5,1,1,1,5.142640566269325,1,1,1,0.09999999999996767,0,1,3,2,1,1449.0,1,1,3,1
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,10.200000000000044,7.951025431043871,0,50.3,1,1,0,6.572850621816077,1,1,1,0.0,0,1,3,2,0,1478.0,1,1,3,1
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,10.199999999999989,6.866327735538923,0,11.100000000000001,0,0,0,1.084697695504948,0,0,1,5.5067062021407764e-14,0,1,1,0,0,114.0,0,0,0,0
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,10.300000000000011,5.752413228355591,0,8.699999999999996,0,0,0,1.113914507183332,0,0,1,0.10000000000002274,0,1,1,0,0,68.0,0,0,0,0
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,10.300000000000011,5.330141287811075,0,5.0,0,0,0,0.42227194054451633,0,0,1,0.0,0,1,1,0,0,126.0,0,0,0,0
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,10.300000000000011,6.444286178455672,0,10.600000000000001,0,0,0,1.1141448906445977,0,0,1,0.0,0,1,1,0,0,179.0,0,0,0,0
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,10.300000000000011,6.558053720417668,0,1.6999999999999957,0,0,0,0.11376754196199546,0,0,1,0.0,0,1,1,0,0,35.0,0,0,0,0
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,10.300000000000011,6.385171876690622,0,2.1000000000000014,0,0,0,0.17288184372704585,0,0,1,0.0,0,1,1,0,0,36.0,0,0,0,0
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,10.199999999999989,5.1312156409857685,0,10.799999999999997,0,0,0,1.2539562357048535,0,0,1,0.10000000000002274,0,1,1,0,0,148.0,0,0,0,0
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,10.300000000000011,7.850127946986079,0,24.9,0,0,0,2.718912306000311,0,0,1,0.10000000000002274,0,1,1,0,0,283.0,0,0,0,0
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,10.300000000000011,7.673004953176687,0,1.7999999999999972,0,0,0,0.17712299380939278,0,0,1,0.0,0,1,1,0,0,15.0,0,0,0,0
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,10.199999999999989,6.368469075749037,0,14.399999999999999,0,0,0,1.3045358774276492,0,0,1,0.10000000000002274,0,1,1,0,0,199.0,0,0,0,0
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,10.199999999999989,4.386092695407341,0,15.300000000000004,0,0,0,1.9823763803416963,0,0,1,0.0,0,1,1,0,0,237.0,0,0,0,0
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,10.100000000000025,4.914581883569729,0,3.0,0,0,0,0.5284891881623874,0,0,1,0.09999999999996412,0,1,1,0,0,17.0,0,0,0,0
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,10.100000000000025,6.156244020023534,0,12.700000000000003,0,0,0,1.2416621364538054,0,0,1,0.0,0,1,1,0,0,289.0,0,0,0,0
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,10.100000000000025,6.583668172519937,0,6.5,0,0,0,0.4274241524964033,0,0,1,0.0,0,1,1,0,0,129.0,0,0,0,0
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,10.0,5.046162255877582,0,16.400000000000002,0,0,0,1.5375059166423553,0,0,1,0.10000000000002451,0,1,1,0,0,285.0,0,0,0,0
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,10.099999999999966,6.7701950003390765,0,15.400000000000002,0,0,0,1.7240327444614945,0,0,1,0.0999999999999659,0,1,1,0,0,213.0,0,0,0,0
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,10.099999999999966,5.180988940594142,0,11.700000000000003,0,0,0,1.5892060597449342,0,0,1,0.0,0,1,1,0,0,61.0,0,0,0,0
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,10.100000000000025,9.700923955019922,0,33.300000000000004,0,0,1,4.51993501442578,1,1,1,5.861977570020827e-14,0,1,2,1,0,117.0,0,0,1,1
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,10.100000000000025,4.553466280015095,0,43.1,1,1,0,5.147457675004827,1,1,1,0.0,0,1,3,2,0,514.0,0,0,2,1
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,10.200000000000044,6.918415341735442,0,22.9,0,0,0,2.3649490617203472,0,0,1,0.10000000000001918,0,1,1,0,0,472.0,0,0,0,0
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,10.200000000000044,6.36524370729135,0,1.1000000000000014,0,0,0,0.5531716344440918,0,0,1,0.0,0,1,1,0,0,83.0,0,0,0,0
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,10.100000000000025,5.834984755267443,0,9.399999999999999,0,0,0,0.5302589520239076,0,0,1,0.10000000000001918,0,1,1,0,0,223.0,0,0,0,0
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,10.100000000000025,5.415299392674381,0,2.700000000000003,0,0,0,0.41968536259306166,0,0,1,0.0,0,1,1,0,0,9.0,0,0,0,0
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,10.099999999999966,6.743878925877506,0,14.400000000000006,0,0,0,1.3285795332031247,0,0,1,5.861977570020827e-14,0,1,1,0,0,222.0,0,0,0,0
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,10.099999999999966,7.328487430808517,0,1.1999999999999957,0,0,0,0.584608504931011,0,0,1,0.0,0,1,1,0,0,82.0,0,0,0,0
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,10.099999999999966,6.292767164773034,0,6.600000000000001,0,0,0,1.035720266035483,0,0,1,0.0,0,1,1,0,0,6.0,0,0,0,0
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,10.099999999999966,7.539508209350144,0,10.200000000000003,0,0,0,1.24674104457711,0,0,1,0.0,0,1,1,0,0,57.0,0,0,0,0
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,10.099999999999966,5.564367964087217,0,13.600000000000001,0,0,0,1.975140245262927,0,0,1,0.0,0,1,1,0,0,4.0,0,0,0,0
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,10.0,7.550870302780628,0,12.0,0,0,0,1.9865023386934109,0,0,1,0.0999999999999659,0,1,1,0,0,43.0,0,0,0,0
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,10.0,7.212573133866567,0,2.3999999999999986,0,0,0,0.33829716891406125,0,0,1,0.0,0,1,1,0,0,5.0,0,0,0,0
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,10.0,6.208038410905718,0,6.700000000000003,0,0,0,1.004534722960849,0,0,1,0.0,0,1,1,0,0,3.0,0,0,0,0
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,10.0,6.168716142858287,0,0.6999999999999957,0,0,0,0.039322268047430775,0,0,1,0.0,0,1,1,0,0,16.0,0,0,0,0
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,10.0,7.088187008735434,0,7.5,0,0,0,0.9194708658771473,0,0,1,0.0,0,1,1,0,0,47.0,0,0,0,0
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,10.0,5.062906944721215,0,20.8,0,0,0,2.0252800640142192,0,0,1,0.0,0,1,1,0,0,382.0,0,0,0,0
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,10.0,6.6015752506454,0,17.099999999999998,0,0,0,1.538668305924185,0,0,1,0.0,0,1,1,0,0,368.0,0,0,0,0
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,10.0,5.141656200571199,0,12.099999999999998,0,0,0,1.459919050074201,0,0,1,0.0,0,1,1,0,0,108.0,0,0,0,0
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,10.0,6.716599429668834,0,13.400000000000002,0,0,0,1.5749432290976353,0,0,1,0.0,0,1,1,0,0,125.0,0,0,0,0
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,10.0,6.150871896585897,0,5.700000000000003,0,0,0,0.5657275330829377,0,0,1,0.0,0,1,1,0,0,68.0,0,0,0,0
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,10.0,4.7362022526989005,0,13.7,0,0,0,1.4146696438869961,0,0,1,0.0,0,1,1,0,0,266.0,0,0,0,0
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,10.0,4.771765081537537,0,0.9000000000000021,0,0,0,0.035562828838636484,0,0,1,0.0,0,1,1,0,0,77.0,0,0,0,0
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,10.0,4.90106256318378,0,2.200000000000003,0,0,0,0.1292974816462431,0,0,1,0.0,0,1,1,0,0,103.0,0,0,0,0
94,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,9.899999999999975,6.529276731710787,0,15.899999999999999,0,0,0,1.6282141685270073,0,0,1,0.10000000000002451,0,1,1,0,0,277.0,0,0,0,0
95,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,9.899999999999975,5.4183886254504126,0,11.100000000000001,0,0,0,1.1108881062603748,0,0,1,0.0,0,1,1,0,0,172.0,0,0,0,0
96,M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,10.0,7.385067514499671,0,20.300000000000004,0,0,0,1.9666788890492581,0,0,1,0.10000000000002451,0,1,1,0,0,271.0,0,0,0,0
97,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,10.0,5.822156585265284,0,16.900000000000006,0,0,0,1.5629109292343868,0,0,1,0.0,0,1,1,0,0,224.0,0,0,0,0
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,10.0,5.479461186636197,0,5.399999999999999,0,0,0,0.34269539862908704,0,0,1,0.0,0,1,1,0,0,175.0,0,0,0,0
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,9.900000000000034,5.235809732399286,0,2.8000000000000043,0,0,0,0.24365145423691104,0,0,1,0.0999999999999659,0,1,1,0,0,221.0,0,0,0,0
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,10.0,7.081275504897537,0,11.699999999999996,0,0,0,1.845465772498251,0,0,1,0.0999999999999659,0,1,1,0,0,6.0,0,0,0,0
101,L47280,L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,10.099999999999966,4.848524662040248,0,19.4,0,0,0,2.232750842857289,0,0,1,0.0999999999999659,0,1,1,0,0,329.0,0,0,0,0
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,10.0,4.3158885715751225,0,4.300000000000001,0,0,0,0.5326360904651253,0,0,1,0.0999999999999659,0,1,1,0,0,139.0,0,0,0,0
103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,10.0,6.611272299969481,0,19.900000000000002,0,0,0,2.2953837283943583,0,0,1,0.0,0,1,1,0,0,436.0,0,0,0,0
104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,10.0,6.111497268660904,0,0.10000000000000142,0,0,0,0.4997750313085767,0,0,1,0.0,0,1,1,0,0,114.0,0,0,0,0
105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,9.899999999999975,6.59001418968019,0,2.8999999999999986,0,0,0,0.47851692101928567,0,0,1,0.10000000000002451,0,1,1,0,0,9.0,0,0,0,0
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,9.899999999999975,5.181543955296277,0,12.299999999999997,0,0,0,1.4084702343839126,0,0,1,0.0,0,1,1,0,0,141.0,0,0,0,0
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,9.899999999999975,7.3390222381735555,0,17.4,0,0,0,2.1574782828772783,0,0,1,0.0,0,1,1,0,0,146.0,0,0,0,0
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,10.0,7.336624155781314,0,1.7000000000000028,0,0,0,0.002398082392241818,0,0,1,0.10000000000002451,0,1,1,0,0,52.0,0,0,0,0
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,9.900000000000034,5.55084864370127,0,14.099999999999994,0,0,0,1.7857755120800434,0,0,1,0.0999999999999659,0,1,1,0,0,124.0,0,0,0,0
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,9.800000000000011,5.613523417140386,0,1.3999999999999986,0,0,0,0.06267477343911576,0,0,1,0.10000000000002274,0,1,1,0,0,49.0,0,0,0,0
111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,9.800000000000011,4.41079608564007,0,11.600000000000001,0,0,0,1.2027273315003164,0,0,1,0.0,0,1,1,0,0,300.0,0,0,0,0
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,9.900000000000034,6.828408712210095,0,21.0,0,0,0,2.4176126265700253,0,0,1,0.10000000000002274,0,1,1,0,0,373.0,0,0,0,0
113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,9.899999999999975,6.1963726301853885,0,4.0,0,0,0,0.6320360820247064,0,0,1,5.861977570020827e-14,0,1,1,0,0,1.0,0,0,0,0
114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,9.800000000000011,6.520208000917424,0,2.3999999999999986,0,0,0,0.32383537073203517,0,0,1,0.09999999999996412,0,1,1,0,0,12.0,0,0,0,0
115,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,9.800000000000011,5.172318144870236,0,12.5,0,0,0,1.3478898560471881,0,0,1,0.0,0,1,1,0,0,194.0,0,0,0,0
116,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,9.800000000000011,6.848326409633854,0,16.300000000000004,0,0,0,1.6760082647636185,0,0,1,0.0,0,1,1,0,0,249.0,0,0,0,0
117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,9.800000000000011,5.584955867943743,0,11.600000000000001,0,0,0,1.2633705416901106,0,0,1,0.0,0,1,1,0,0,133.0,0,0,0,0
118,L47297,L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,9.800000000000011,5.525747318399087,0,1.1000000000000014,0,0,0,0.05920854954465682,0,0,1,0.0,0,1,1,0,0,35.0,0,0,0,0
119,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,9.800000000000011,5.023061077898184,0,4.899999999999999,0,0,0,0.5026862405009025,0,0,1,0.0,0,1,1,0,0,108.0,0,0,0,0
120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,9.800000000000011,6.252491946954015,0,12.600000000000001,0,0,0,1.2294308690558307,0,0,1,0.0,0,1,1,0,0,240.0,0,0,0,0
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,9.800000000000011,6.707834386165319,0,4.0,0,0,0,0.4553424392113046,0,0,1,0.0,0,1,1,0,0,34.0,0,0,0,0
